,sign_form,combined,all_locs,count,is_dup
3,AK,AK:..,"P334078.3.2.2 (o 2),P334078.5.1.1 (o 4),P334079.3.2.2 (o 2),P334081.3.2.2 (o 2),P334114.3.2.2 (o 2),P334115.3.2.2 (o 2),P334116.3.2.2 (o 2),P334496.3.2.2 (o 2),P334504.3.2.2 (o 2),P334565.3.2.2 (o 2),P334587.7.1.1 (o 5),P334665.6.1.1 (o 5)",12,True
4,AK,AK:.d.,P313435.3.2.2 (o 2),1,True
5,AK,AK:.td.,P334665.3.2.5 (o 2),1,True
9,ARAD,ARAD:..,"P237089.3.1.0 (o 2),P313419.3.1.0 (o 2),P313420.3.1.0 (o 2),P313434.3.1.0 (o 2),P313435.3.1.0 (o 2),P313437.3.1.0 (o 2),P313447.3.1.0 (o 2),P313448.3.1.0 (o 2),P313472.3.1.0 (o 2),P313510.3.1.0 (o 2),P313515.3.1.0 (o 2),P313540.3.1.0 (o 2),P313750.3.1.0 (o 2),P313874.3.1.0 (o 2),P314044.3.1.0 (o 2),P334036.3.1.0 (o 2),P334037.3.1.0 (o 2),P334038.3.1.0 (o 2),P334039.3.1.0 (o 2),P334040.3.1.0 (o 2),P334041.3.1.0 (o 2),P334042.3.1.0 (o 2),P334043.3.1.0 (o 2),P334044.3.1.0 (o 2),P334045.3.1.0 (o 2),P334046.3.1.0 (o 2),P334047.3.1.0 (o 2),P334048.2.4.0 (o 1),P334049.3.1.0 (o 2),P334050.3.1.0 (o 2),P334051.3.1.0 (o 2),P334053.3.1.0 (o 2),P334054.3.1.0 (o 2),P334055.3.1.0 (o 2),P334069.3.1.0 (o 2),P334070.3.1.0 (o 2),P334071.3.1.0 (o 2),P334072.3.1.0 (o 2),P334073.3.1.0 (o 2),P334074.3.1.0 (o 2),P334075.3.1.0 (o 2),P334076.3.1.0 (o 2),P334077.2.4.0 (o 1),P334078.3.1.0 (o 2),P334079.3.1.0 (o 2),P334080.3.1.0 (o 2),P334081.3.1.0 (o 2),P334083.3.1.0 (o 2),P334084.3.1.0 (o 2),P334090.2.4.0 (o 1),P334091.3.1.0 (o 2),P334092.2.4.0 (o 1),P334094.2.4.0 (o 1),P334103.3.1.0 (o 2),P334104.3.1.0 (o 2),P334105.3.1.0 (o 2),P334106.3.1.0 (o 2),P334108.3.1.0 (o 2),P334109.3.1.0 (o 2),P334113.3.1.0 (o 2),P334114.3.1.0 (o 2),P334115.3.1.0 (o 2),P334116.3.1.0 (o 2),P334117.3.1.0 (o 2),P334118.3.1.0 (o 2),P334124.3.1.0 (o 2),P334125.3.1.0 (o 2),P334135.3.1.0 (o 2),P334136.3.1.0 (o 2),P334137.3.1.0 (o 2),P334138.3.1.0 (o 2),P334139.3.1.0 (o 2),P334140.3.1.0 (o 2),P334145.3.1.0 (o 2),P334158.6.1.0 (o 5),P334170.3.1.0 (o 2),P334171.3.1.0 (o 2),P334172.3.1.0 (o 2),P334174.3.1.0 (o 2),P334175.3.1.0 (o 2),P334176.3.1.0 (o 2),P334186.3.1.0 (o 2),P334187.3.1.0 (o 2),P334198.3.1.0 (o 2),P334199.3.1.0 (o 2),P334200.3.1.0 (o 2),P334201.3.1.0 (o 2),P334202.3.1.0 (o 2),P334203.3.1.0 (o 2),P334204.3.1.0 (o 2),P334205.3.1.0 (o 2),P334208.3.1.0 (o 2),P334212.3.1.0 (o 2),P334256.3.1.0 (o 2),P334257.3.1.0 (o 2),P334259.4.1.0 (o 2),P334263.3.1.0 (o 2),P334264.3.1.0 (o 2),P334271.3.1.0 (o 2),P334272.3.1.0 (o 2),P334273.3.1.0 (o 2),P334279.3.1.0 (o 2),P334288.3.1.0 (o 2),P334291.2.4.0 (o 1),P334296.3.1.0 (o 2),P334298.3.1.0 (o 2),P334328.3.1.0 (o 2),P334329.3.1.0 (o 2),P334330.3.1.0 (o 2),P334331.3.1.0 (o 2),P334332.3.1.0 (o 2),P334333.3.1.0 (o 2),P334335.3.1.0 (o 2),P334336.3.1.0 (o 2),P334338.3.1.0 (o 2),P334339.3.1.0 (o 2),P334343.3.1.0 (o 2),P334344.3.1.0 (o 2),P334345.3.1.0 (o 2),P334346.3.1.0 (o 2),P334347.3.1.0 (o 2),P334348.3.1.0 (o 2),P334349.3.1.0 (o 2),P334350.3.1.0 (o 2),P334351.3.1.0 (o 2),P334367.3.1.0 (o 2),P334496.3.1.0 (o 2),P334498.3.1.0 (o 2),P334500.3.1.0 (o 2),P334501.3.1.0 (o 2),P334502.2.4.0 (o 1),P334504.3.1.0 (o 2),P334505.3.1.0 (o 2),P334518.3.1.0 (o 2),P334521.3.1.0 (o 2),P334528.3.1.0 (o 2),P334529.3.1.0 (o 2),P334534.3.1.0 (o 2),P334534.7.3.1 (o 6),P334536.3.1.0 (o 2),P334538.3.1.0 (o 2),P334539.2.4.0 (o 1),P334540.3.1.0 (o 2),P334554.3.1.0 (o 2),P334555.3.1.0 (o 2),P334558.3.1.0 (o 2),P334559.3.1.0 (o 2),P334561.3.1.0 (o 2),P334562.3.1.0 (o 2),P334563.3.1.0 (o 2),P334564.3.1.0 (o 2),P334565.3.1.0 (o 2),P334587.4.1.0 (o 2),P334665.3.1.0 (o 2),P334918.3.1.0 (o 2),P336167.3.1.0 (o 2),P336168.3.1.0 (o 2),P336169.3.1.0 (o 2),P336178.3.1.0 (o 2),P336597.3.1.0 (o 2),P337150.3.1.0 (o 2),X900015.3.1.0 (o 2)",162,True
10,ARAD,ARAD:.p.,"P313421.3.1.0 (o 2),P313504.3.1.0 (o 2),P313640.3.1.0 (o 2)",3,True
17,BU,BU:..,"P313435.6.4.2 (o 5),P313472.3.2.6 (o 2),P313510.3.2.5 (o 2),P313750.7.1.1 (o 6),P334038.6.1.2 (o 5),P334039.6.2.2 (o 5),P334040.5.6.2 (o 4),P334043.6.2.2 (o 5),P334044.5.6.2 (o 4),P334045.6.4.2 (o 5),P334069.3.2.2 (o 2),P334070.3.2.2 (o 2),P334071.3.2.2 (o 2),P334072.3.2.2 (o 2),P334073.3.2.2 (o 2),P334078.6.4.2 (o 5),P334081.7.1.2 (o 6),P334084.3.2.5 (o 2),P334158.5.4.2 (o 4),P334273.6.1.2 (o 5),P334328.6.2.2 (o 5),P334329.6.2.2 (o 5),P334330.6.1.2 (o 5),P334344.6.4.1 (o 5),P334496.6.4.2 (o 5),P334498.3.2.5 (o 2),P334587.7.6.2 (o 5),P336167.6.1.2 (o 5)",28,True
18,BU,BU:.t.,"P313420.7.4.1 (o 6),P334271.6.2.2 (o 5),P334331.6.1.2 (o 5),P334343.7.1.1 (o 6)",4,True
19,BU,BU:.tdp.,P334665.8.1.2 (o 7),1,True
20,BU,BU:.tp.,P334037.6.1.2 (o 5),1,True
21,DA,DA:..,"P313420.3.2.3 (o 2),P334343.3.2.3 (o 2)",2,True
22,DA,DA:.d.,"P334344.3.2.3 (o 2),P334345.3.2.3 (o 2),P334346.3.2.3 (o 2)",3,True
23,DI,DI:..,"P237089.4.2.0 (o 3),P313419.4.2.0 (o 3),P313419.5.1.0 (o 4),P313420.4.2.0 (o 3),P313420.5.1.0 (o 4),P313421.4.2.0 (o 3),P313434.4.2.0 (o 3),P313435.4.2.0 (o 3),P313472.4.2.0 (o 3),P313472.5.1.0 (o 4),P313504.4.2.0 (o 3),P313504.5.1.0 (o 4),P313504.5.3.1 (o 4),P313504.6.1.0 (o 5),P313510.4.2.0 (o 3),P313510.5.1.0 (o 4),P313515.4.2.0 (o 3),P313540.4.2.0 (o 3),P313750.4.2.0 (o 3),P313750.5.1.0 (o 4),P313750.6.1.0 (o 5),P313874.4.2.0 (o 3),P334036.4.2.0 (o 3),P334037.4.2.0 (o 3),P334038.4.2.0 (o 3),P334039.4.2.0 (o 3),P334040.4.2.0 (o 3),P334041.4.1.0 (o 3),P334041.5.1.0 (o 4),P334041.6.1.0 (o 5),P334041.7.1.0 (o 6),P334041.8.2.0 (o 7),P334042.4.2.0 (o 3),P334043.4.2.0 (o 3),P334044.4.2.0 (o 3),P334045.4.2.0 (o 3),P334046.4.2.0 (o 3),P334047.4.2.0 (o 3),P334048.3.1.0 (o 2),P334048.3.4.0 (o 2),P334048.4.1.0 (o 3),P334048.4.4.0 (o 3),P334048.5.2.0 (o 4),P334051.4.2.0 (o 3),P334055.4.2.0 (o 3),P334074.4.2.0 (o 3),P334074.5.1.0 (o 4),P334077.3.2.0 (o 2),P334077.3.6.0 (o 2),P334081.4.2.0 (o 3),P334083.4.2.0 (o 3),P334084.4.2.0 (o 3),P334084.6.1.0 (o 5),P334090.3.2.0 (o 2),P334091.4.2.0 (o 3),P334092.3.2.0 (o 2),P334092.3.6.0 (o 2),P334092.4.5.0 (o 3),P334092.5.2.0 (o 4),P334094.3.2.0 (o 2),P334103.4.2.0 (o 3),P334104.4.2.0 (o 3),P334105.4.2.0 (o 3),P334106.4.2.0 (o 3),P334108.4.2.0 (o 3),P334109.4.2.0 (o 3),P334114.4.2.0 (o 3),P334115.4.2.0 (o 3),P334116.4.2.0 (o 3),P334117.4.2.0 (o 3),P334118.4.2.0 (o 3),P334124.4.2.0 (o 3),P334125.4.2.0 (o 3),P334137.4.2.0 (o 3),P334138.4.2.0 (o 3),P334140.4.2.0 (o 3),P334145.4.2.0 (o 3),P334145.5.1.0 (o 4),P334145.6.1.0 (o 5),P334171.5.1.0 (o 4),P334171.6.1.0 (o 5),P334171.7.1.0 (o 6),P334171.8.1.0 (o 7),P334172.4.2.0 (o 3),P334172.5.1.0 (o 4),P334172.6.1.0 (o 5),P334172.7.1.0 (o 6),P334172.8.1.0 (o 7),P334174.4.2.0 (o 3),P334175.4.2.0 (o 3),P334176.4.2.0 (o 3),P334199.4.2.0 (o 3),P334200.4.2.0 (o 3),P334201.4.2.0 (o 3),P334201.5.2.0 (o 4),P334202.4.2.0 (o 3),P334202.5.1.0 (o 4),P334203.4.2.0 (o 3),P334203.5.1.0 (o 4),P334204.4.2.0 (o 3),P334205.4.2.0 (o 3),P334208.4.2.0 (o 3),P334256.4.2.0 (o 3),P334264.4.2.0 (o 3),P334264.5.1.0 (o 4),P334271.4.2.0 (o 3),P334272.4.1.0 (o 3),P334272.5.1.0 (o 4),P334272.6.1.0 (o 5),P334272.7.1.0 (o 6),P334272.8.2.0 (o 7),P334273.4.2.0 (o 3),P334279.4.2.0 (o 3),P334288.4.2.0 (o 3),P334291.3.2.0 (o 2),P334291.4.1.0 (o 3),P334291.5.1.0 (o 4),P334296.4.2.0 (o 3),P334296.6.1.0 (o 5),P334328.4.2.0 (o 3),P334329.4.2.0 (o 3),P334330.4.2.0 (o 3),P334331.4.2.0 (o 3),P334332.5.2.0 (o 4),P334335.4.2.0 (o 3),P334336.4.2.0 (o 3),P334338.4.2.0 (o 3),P334339.4.2.0 (o 3),P334343.4.2.0 (o 3),P334343.5.1.0 (o 4),P334344.4.2.0 (o 3),P334344.5.1.0 (o 4),P334345.4.2.0 (o 3),P334345.5.1.0 (o 4),P334346.4.2.0 (o 3),P334347.4.2.0 (o 3),P334347.6.1.0 (o 5),P334348.4.2.0 (o 3),P334348.6.1.0 (o 5),P334349.4.2.0 (o 3),P334349.6.1.0 (o 5),P334350.4.2.0 (o 3),P334350.6.1.0 (o 5),P334351.6.1.0 (o 5),P334367.4.2.0 (o 3),P334496.4.2.0 (o 3),P334498.5.1.0 (o 4),P334500.4.2.0 (o 3),P334501.4.2.0 (o 3),P334502.3.2.0 (o 2),P334504.4.2.0 (o 3),P334521.4.2.0 (o 3),P334521.5.1.0 (o 4),P334521.6.1.0 (o 5),P334529.4.2.0 (o 3),P334534.4.2.0 (o 3),P334534.5.1.0 (o 4),P334534.7.1.0 (o 6),P334534.9.1.0 (o 8),P334536.4.2.0 (o 3),P334538.4.2.0 (o 3),P334539.4.2.0 (o 3),P334540.4.2.0 (o 3),P334540.5.1.0 (o 4),P334554.4.2.0 (o 3),P334555.4.2.0 (o 3),P334558.4.2.0 (o 3),P334559.4.2.0 (o 3),P334561.4.2.0 (o 3),P334562.4.2.0 (o 3),P334562.5.1.0 (o 4),P334562.5.3.1 (o 4),P334562.6.1.0 (o 5),P334563.4.2.0 (o 3),P334564.4.2.0 (o 3),P334565.4.2.0 (o 3),P334918.4.2.0 (o 3),P336167.4.2.0 (o 3),P336168.4.2.0 (o 3),P336169.4.2.0 (o 3),P336178.4.2.0 (o 3),P336597.4.2.0 (o 3),P337150.4.2.0 (o 3),X900015.4.2.0 (o 3)",184,True
24,DI,DI:.d.,"P313437.4.2.0 (o 3),P313447.4.2.0 (o 3),P334049.4.2.0 (o 3),P334050.4.2.0 (o 3),P334053.4.2.0 (o 3),P334054.4.2.0 (o 3),P334075.4.2.0 (o 3),P334078.4.2.0 (o 3),P334078.7.1.0 (o 6),P334079.4.2.0 (o 3),P334080.4.2.0 (o 3),P334136.4.2.0 (o 3),P334170.4.2.0 (o 3),P334171.4.2.0 (o 3),P334198.4.2.0 (o 3),P334263.4.2.0 (o 3),P334298.4.2.0 (o 3),P334333.4.2.0 (o 3),P334351.4.2.0 (o 3),P334498.4.2.0 (o 3),P334505.5.1.0 (o 4)",21,True
27,DU,DU:..,"P237089.3.2.3 (o 2),P313419.3.2.5 (o 2),P313434.3.2.4 (o 2),P313472.3.2.4 (o 2),P313510.3.2.4 (o 2),P334084.3.2.4 (o 2),P334103.3.2.3 (o 2),P334104.3.2.3 (o 2),P334105.3.2.3 (o 2),P334106.3.2.2 (o 2),P334108.3.2.3 (o 2),P334115.3.2.4 (o 2),P334117.3.2.4 (o 2),P334498.3.2.4 (o 2),P334501.3.2.3 (o 2),P334665.3.2.4 (o 2),X900015.3.2.4 (o 2)",17,True
28,DU,DU:.d.,"P334114.3.2.4 (o 2),P334116.3.2.4 (o 2),P334504.3.2.4 (o 2),P334505.3.2.4 (o 2),P334565.3.2.4 (o 2)",5,True
33,E₂,E₂:..,"P334036.3.2.4 (o 2),P334038.3.2.4 (o 2),P334039.3.2.4 (o 2),P334040.3.2.4 (o 2),P334041.3.2.4 (o 2),P334041.4.3.0 (o 3),P334041.5.3.0 (o 4),P334042.3.2.4 (o 2),P334043.3.2.4 (o 2),P334044.3.2.5 (o 2),P334045.3.2.4 (o 2),P334046.3.2.4 (o 2),P334047.3.2.4 (o 2),P334048.2.5.4 (o 1),P334048.3.3.0 (o 2),P334048.3.6.0 (o 2),P334171.5.3.0 (o 4),P334171.7.3.1 (o 6),P334172.5.3.0 (o 4),P334172.7.3.1 (o 6),P334271.3.2.4 (o 2),P334272.3.2.4 (o 2),P334272.4.3.0 (o 3),P334272.5.3.0 (o 4),P334273.3.2.4 (o 2),P334328.3.2.4 (o 2),P334329.3.2.4 (o 2),P334330.3.2.4 (o 2),P334331.3.2.5 (o 2),P334332.3.2.3 (o 2),P334534.9.3.1 (o 8),P336167.3.2.4 (o 2)",32,True
34,E₂,E₂:.d.,P334037.3.2.4 (o 2),1,True
50,KA,KA:..,"P237089.3.1.1 (o 2),P313419.3.1.1 (o 2),P313420.3.1.1 (o 2),P313421.3.1.1 (o 2),P313434.3.1.1 (o 2),P313435.3.1.1 (o 2),P313437.3.1.1 (o 2),P313447.3.1.1 (o 2),P313448.3.1.1 (o 2),P313472.3.1.1 (o 2),P313504.3.1.1 (o 2),P313510.3.1.1 (o 2),P313515.3.1.1 (o 2),P313540.3.1.1 (o 2),P313640.3.1.1 (o 2),P313750.3.1.1 (o 2),P313874.3.1.1 (o 2),P314044.3.1.1 (o 2),P334036.3.1.1 (o 2),P334037.3.1.1 (o 2),P334038.3.1.1 (o 2),P334039.3.1.1 (o 2),P334040.3.1.1 (o 2),P334041.3.1.1 (o 2),P334042.3.1.1 (o 2),P334043.3.1.1 (o 2),P334044.3.1.1 (o 2),P334045.3.1.1 (o 2),P334046.3.1.1 (o 2),P334047.3.1.1 (o 2),P334048.2.4.1 (o 1),P334049.3.1.1 (o 2),P334050.3.1.1 (o 2),P334051.3.1.1 (o 2),P334053.3.1.1 (o 2),P334054.3.1.1 (o 2),P334055.3.1.1 (o 2),P334069.3.1.1 (o 2),P334070.3.1.1 (o 2),P334071.3.1.1 (o 2),P334072.3.1.1 (o 2),P334073.3.1.1 (o 2),P334074.3.1.1 (o 2),P334075.3.1.1 (o 2),P334076.3.1.1 (o 2),P334077.2.4.1 (o 1),P334078.3.1.1 (o 2),P334079.3.1.1 (o 2),P334080.3.1.1 (o 2),P334081.3.1.1 (o 2),P334083.3.1.1 (o 2),P334084.3.1.1 (o 2),P334090.2.4.1 (o 1),P334091.3.1.1 (o 2),P334092.2.4.1 (o 1),P334094.2.4.1 (o 1),P334103.3.1.1 (o 2),P334104.3.1.1 (o 2),P334105.3.1.1 (o 2),P334106.3.1.1 (o 2),P334108.3.1.1 (o 2),P334109.3.1.1 (o 2),P334113.3.1.1 (o 2),P334114.3.1.1 (o 2),P334115.3.1.1 (o 2),P334116.3.1.1 (o 2),P334117.3.1.1 (o 2),P334118.3.1.1 (o 2),P334124.3.1.1 (o 2),P334125.3.1.1 (o 2),P334135.3.1.1 (o 2),P334136.3.1.1 (o 2),P334137.3.1.1 (o 2),P334138.3.1.1 (o 2),P334139.3.1.1 (o 2),P334140.3.1.1 (o 2),P334158.6.1.1 (o 5),P334158.7.1.0 (o 6),P334170.3.1.1 (o 2),P334171.3.1.1 (o 2),P334172.3.1.1 (o 2),P334174.3.1.1 (o 2),P334175.3.1.1 (o 2),P334176.3.1.1 (o 2),P334186.3.1.1 (o 2),P334187.3.1.1 (o 2),P334198.3.1.1 (o 2),P334199.3.1.1 (o 2),P334200.3.1.1 (o 2),P334201.3.1.1 (o 2),P334202.3.1.1 (o 2),P334203.3.1.1 (o 2),P334204.3.1.1 (o 2),P334205.3.1.1 (o 2),P334208.3.1.1 (o 2),P334212.3.1.1 (o 2),P334256.3.1.1 (o 2),P334257.3.1.1 (o 2),P334259.4.1.1 (o 2),P334263.3.1.1 (o 2),P334264.3.1.1 (o 2),P334271.3.1.1 (o 2),P334272.3.1.1 (o 2),P334273.3.1.1 (o 2),P334279.3.1.1 (o 2),P334288.3.1.1 (o 2),P334291.2.4.1 (o 1),P334296.3.1.1 (o 2),P334298.3.1.1 (o 2),P334328.3.1.1 (o 2),P334329.3.1.1 (o 2),P334330.3.1.1 (o 2),P334331.3.1.1 (o 2),P334332.3.1.2 (o 2),P334333.3.1.1 (o 2),P334335.3.1.1 (o 2),P334336.3.1.1 (o 2),P334338.3.1.1 (o 2),P334339.3.1.1 (o 2),P334343.3.1.1 (o 2),P334344.3.1.1 (o 2),P334345.3.1.1 (o 2),P334346.3.1.1 (o 2),P334347.3.1.1 (o 2),P334348.3.1.1 (o 2),P334349.3.1.1 (o 2),P334350.3.1.1 (o 2),P334351.3.1.1 (o 2),P334367.3.1.1 (o 2),P334496.3.1.1 (o 2),P334498.3.1.1 (o 2),P334500.3.1.1 (o 2),P334501.3.1.1 (o 2),P334502.2.4.1 (o 1),P334504.3.1.1 (o 2),P334505.3.1.1 (o 2),P334518.3.1.1 (o 2),P334521.3.1.1 (o 2),P334528.3.1.1 (o 2),P334529.3.1.1 (o 2),P334534.3.1.1 (o 2),P334536.3.1.1 (o 2),P334538.3.1.1 (o 2),P334539.2.4.2 (o 1),P334540.3.1.1 (o 2),P334554.3.1.1 (o 2),P334555.3.1.1 (o 2),P334558.3.1.1 (o 2),P334559.3.1.1 (o 2),P334561.3.1.1 (o 2),P334562.3.1.1 (o 2),P334563.3.1.1 (o 2),P334564.3.1.1 (o 2),P334565.3.1.1 (o 2),P334587.4.1.1 (o 2),P334587.4.3.0 (o 2),P334587.4.3.3 (o 2),P334665.3.1.1 (o 2),P334918.3.1.1 (o 2),P336167.3.1.1 (o 2),P336168.3.1.1 (o 2),P336169.3.1.1 (o 2),P336178.3.1.1 (o 2),P336597.3.1.1 (o 2),P337150.3.1.1 (o 2),X900015.3.1.1 (o 2)",166,True
51,KA,KA:.d.,P334145.3.1.1 (o 2),1,True
