,sign_form,combined,all_locs,count,is_dup
58,LU,LU:..,"P237089.4.1.0 (o 3),P313419.4.1.0 (o 3),P313420.4.1.0 (o 3),P313420.8.4.0 (o 7),P313421.4.1.0 (o 3),P313434.4.1.0 (o 3),P313435.4.1.0 (o 3),P313437.4.1.0 (o 3),P313447.4.1.0 (o 3),P313448.4.1.0 (o 3),P313472.4.1.0 (o 3),P313504.4.1.0 (o 3),P313510.4.1.0 (o 3),P313540.4.1.0 (o 3),P313640.4.1.0 (o 3),P313750.4.1.0 (o 3),P313750.7.5.0 (o 6),P313874.4.1.0 (o 3),P314044.4.1.0 (o 3),P334036.4.1.0 (o 3),P334037.4.1.0 (o 3),P334038.4.1.0 (o 3),P334039.4.1.0 (o 3),P334040.4.1.0 (o 3),P334041.8.1.0 (o 7),P334042.4.1.0 (o 3),P334043.4.1.0 (o 3),P334044.4.1.0 (o 3),P334045.4.1.0 (o 3),P334046.4.1.0 (o 3),P334047.4.1.0 (o 3),P334048.5.1.0 (o 4),P334049.4.1.0 (o 3),P334050.4.1.0 (o 3),P334051.4.1.0 (o 3),P334053.4.1.0 (o 3),P334054.4.1.0 (o 3),P334055.4.1.0 (o 3),P334074.4.1.0 (o 3),P334075.4.1.0 (o 3),P334076.4.1.0 (o 3),P334077.3.1.0 (o 2),P334078.4.1.0 (o 3),P334079.4.1.0 (o 3),P334080.4.1.0 (o 3),P334081.4.1.0 (o 3),P334083.4.1.0 (o 3),P334084.4.1.0 (o 3),P334090.3.1.0 (o 2),P334091.4.1.0 (o 3),P334092.3.1.0 (o 2),P334092.5.1.0 (o 4),P334094.3.1.0 (o 2),P334103.4.1.0 (o 3),P334104.4.1.0 (o 3),P334105.4.1.0 (o 3),P334106.4.1.0 (o 3),P334108.4.1.0 (o 3),P334109.4.1.0 (o 3),P334113.4.1.0 (o 3),P334114.4.1.0 (o 3),P334115.4.1.0 (o 3),P334116.4.1.0 (o 3),P334117.4.1.0 (o 3),P334118.4.1.0 (o 3),P334124.4.1.0 (o 3),P334125.4.1.0 (o 3),P334135.4.1.0 (o 3),P334136.4.1.0 (o 3),P334137.4.1.0 (o 3),P334138.4.1.0 (o 3),P334139.4.1.0 (o 3),P334140.4.1.0 (o 3),P334145.4.1.0 (o 3),P334145.7.5.0 (o 6),P334158.3.2.0 (o 2),P334170.4.1.0 (o 3),P334171.4.1.0 (o 3),P334172.4.1.0 (o 3),P334174.4.1.0 (o 3),P334175.4.1.0 (o 3),P334176.4.1.0 (o 3),P334186.4.1.0 (o 3),P334187.4.1.0 (o 3),P334198.4.1.0 (o 3),P334199.4.1.0 (o 3),P334200.4.1.0 (o 3),P334201.4.1.0 (o 3),P334201.7.4.0 (o 6),P334202.4.1.0 (o 3),P334203.4.1.0 (o 3),P334204.4.1.0 (o 3),P334205.4.1.0 (o 3),P334208.4.1.0 (o 3),P334256.4.1.0 (o 3),P334257.4.1.0 (o 3),P334263.4.1.0 (o 3),P334264.4.1.0 (o 3),P334271.4.1.0 (o 3),P334272.8.1.0 (o 7),P334273.4.1.0 (o 3),P334279.4.1.0 (o 3),P334288.4.1.0 (o 3),P334291.3.1.0 (o 2),P334291.6.5.0 (o 5),P334296.4.1.0 (o 3),P334298.4.1.0 (o 3),P334328.4.1.0 (o 3),P334329.4.1.0 (o 3),P334330.4.1.0 (o 3),P334331.4.1.0 (o 3),P334332.5.1.0 (o 4),P334333.4.1.0 (o 3),P334335.4.1.0 (o 3),P334336.4.1.0 (o 3),P334338.4.1.0 (o 3),P334339.4.1.0 (o 3),P334343.4.1.0 (o 3),P334343.8.1.0 (o 7),P334344.4.1.0 (o 3),P334344.7.4.0 (o 6),P334345.4.1.0 (o 3),P334345.8.1.0 (o 7),P334346.4.1.0 (o 3),P334347.4.1.0 (o 3),P334348.4.1.0 (o 3),P334349.4.1.0 (o 3),P334350.4.1.0 (o 3),P334351.4.1.0 (o 3),P334367.4.1.0 (o 3),P334496.4.1.0 (o 3),P334498.4.1.0 (o 3),P334500.4.1.0 (o 3),P334501.4.1.0 (o 3),P334502.3.1.0 (o 2),P334504.4.1.0 (o 3),P334505.4.1.0 (o 3),P334518.4.1.0 (o 3),P334521.4.1.0 (o 3),P334521.7.5.0 (o 6),P334528.4.1.0 (o 3),P334529.4.1.0 (o 3),P334534.4.1.0 (o 3),P334536.4.1.0 (o 3),P334538.4.1.0 (o 3),P334539.4.1.0 (o 3),P334540.4.1.0 (o 3),P334554.4.1.0 (o 3),P334555.4.1.0 (o 3),P334558.4.1.0 (o 3),P334559.4.1.0 (o 3),P334561.4.1.0 (o 3),P334562.4.1.0 (o 3),P334563.4.1.0 (o 3),P334564.4.1.0 (o 3),P334565.4.1.0 (o 3),P334587.4.2.2 (o 2),P334587.6.4.2 (o 4),P334665.4.1.0 (o 3),P334918.4.1.0 (o 3),P336167.4.1.0 (o 3),P336168.4.1.0 (o 3),P336169.4.1.0 (o 3),P336178.4.1.0 (o 3),P336597.4.1.0 (o 3),P337150.4.1.0 (o 3),X900015.4.1.0 (o 3)",167,True
59,LU,LU:.m.,P313515.4.1.0 (o 3),1,True
60,LUGAL,LUGAL:..,"P237089.2.2.0 (o 1),P237089.4.4.0 (o 3),P313419.2.2.0 (o 1),P313419.4.4.0 (o 3),P313419.6.4.0 (o 5),P313420.4.4.0 (o 3),P313421.2.2.0 (o 1),P313421.3.2.1 (o 2),P313421.4.4.0 (o 3),P313434.2.2.0 (o 1),P313434.4.4.0 (o 3),P313435.2.2.0 (o 1),P313435.4.4.0 (o 3),P313435.6.2.0 (o 5),P313437.2.2.0 (o 1),P313437.4.4.0 (o 3),P313447.2.2.0 (o 1),P313447.4.4.0 (o 3),P313472.4.4.0 (o 3),P313472.6.4.0 (o 5),P313510.2.2.0 (o 1),P313510.4.4.0 (o 3),P313510.5.7.0 (o 4),P313515.2.2.0 (o 1),P313540.2.2.0 (o 1),P313540.4.4.0 (o 3),P313640.2.2.0 (o 1),P313640.3.2.1 (o 2),P313640.4.4.0 (o 3),P313750.2.2.0 (o 1),P313750.4.4.0 (o 3),P313750.5.5.0 (o 4),P313750.7.3.0 (o 6),P313874.2.2.0 (o 1),P314044.2.2.0 (o 1),P334036.2.2.0 (o 1),P334036.4.4.0 (o 3),P334036.5.4.0 (o 4),P334037.2.2.0 (o 1),P334037.4.4.0 (o 3),P334037.5.4.0 (o 4),P334038.2.2.0 (o 1),P334038.4.4.0 (o 3),P334038.5.4.0 (o 4),P334039.2.2.0 (o 1),P334039.4.4.0 (o 3),P334039.5.4.0 (o 4),P334040.2.2.0 (o 1),P334040.4.4.0 (o 3),P334040.5.4.0 (o 4),P334041.2.2.0 (o 1),P334041.8.4.0 (o 7),P334041.9.4.0 (o 8),P334042.2.2.0 (o 1),P334042.4.4.0 (o 3),P334042.5.4.0 (o 4),P334043.2.2.0 (o 1),P334043.4.4.0 (o 3),P334043.5.4.0 (o 4),P334044.2.2.0 (o 1),P334044.4.4.0 (o 3),P334044.5.4.0 (o 4),P334045.2.2.0 (o 1),P334045.4.4.0 (o 3),P334045.6.2.0 (o 5),P334046.2.2.0 (o 1),P334046.4.4.0 (o 3),P334047.2.2.0 (o 1),P334047.4.4.0 (o 3),P334047.5.4.0 (o 4),P334048.2.2.0 (o 1),P334049.2.2.0 (o 1),P334049.4.4.0 (o 3),P334050.2.2.0 (o 1),P334050.4.4.0 (o 3),P334051.2.2.0 (o 1),P334051.4.4.0 (o 3),P334053.2.2.0 (o 1),P334053.4.4.0 (o 3),P334054.2.2.0 (o 1),P334054.4.4.0 (o 3),P334055.2.2.0 (o 1),P334055.4.4.0 (o 3),P334069.2.2.0 (o 1),P334070.2.2.0 (o 1),P334072.2.2.0 (o 1),P334073.2.2.0 (o 1),P334074.2.2.0 (o 1),P334074.4.4.0 (o 3),P334074.5.5.0 (o 4),P334075.2.2.0 (o 1),P334075.4.4.0 (o 3),P334076.4.4.0 (o 3),P334076.5.5.0 (o 4),P334077.2.2.0 (o 1),P334077.3.4.0 (o 2),P334077.3.10.0 (o 2),P334078.2.2.0 (o 1),P334078.4.4.0 (o 3),P334078.6.2.0 (o 5),P334078.7.5.0 (o 6),P334079.2.2.0 (o 1),P334079.4.4.0 (o 3),P334079.6.2.0 (o 5),P334081.2.2.0 (o 1),P334081.4.4.0 (o 3),P334081.6.2.0 (o 5),P334083.2.2.0 (o 1),P334083.4.4.0 (o 3),P334084.7.4.0 (o 6),P334090.2.2.0 (o 1),P334092.2.2.0 (o 1),P334092.3.4.0 (o 2),P334092.4.4.0 (o 3),P334092.5.4.0 (o 4),P334094.2.2.0 (o 1),P334094.3.4.0 (o 2),P334105.2.2.0 (o 1),P334105.4.4.0 (o 3),P334106.4.4.0 (o 3),P334108.2.2.0 (o 1),P334108.4.4.0 (o 3),P334109.2.2.0 (o 1),P334109.4.4.0 (o 3),P334113.2.2.0 (o 1),P334114.2.2.0 (o 1),P334114.4.4.0 (o 3),P334115.2.2.0 (o 1),P334115.4.4.0 (o 3),P334116.2.2.0 (o 1),P334116.4.4.0 (o 3),P334117.2.2.0 (o 1),P334117.5.2.0 (o 4),P334118.2.2.0 (o 1),P334118.4.4.0 (o 3),P334124.2.2.0 (o 1),P334124.4.4.0 (o 3),P334125.4.4.0 (o 3),P334135.2.2.0 (o 1),P334135.4.4.0 (o 3),P334136.2.2.0 (o 1),P334136.4.4.0 (o 3),P334137.2.2.0 (o 1),P334137.4.4.0 (o 3),P334138.2.2.0 (o 1),P334138.4.4.0 (o 3),P334139.2.2.0 (o 1),P334139.4.4.0 (o 3),P334140.2.2.0 (o 1),P334140.4.4.0 (o 3),P334145.4.4.0 (o 3),P334145.5.5.0 (o 4),P334145.6.5.0 (o 5),P334158.2.2.0 (o 1),P334158.5.2.0 (o 4),P334158.7.2.0 (o 6),P334170.2.2.0 (o 1),P334170.4.4.0 (o 3),P334171.2.2.0 (o 1),P334171.4.4.0 (o 3),P334172.2.2.0 (o 1),P334172.4.4.0 (o 3),P334175.2.2.0 (o 1),P334175.4.4.0 (o 3),P334176.2.2.0 (o 1),P334176.4.4.0 (o 3),P334186.4.4.0 (o 3),P334198.2.2.0 (o 1),P334198.3.2.1 (o 2),P334198.4.4.0 (o 3),P334199.2.2.0 (o 1),P334199.3.2.1 (o 2),P334199.4.4.0 (o 3),P334200.2.2.0 (o 1),P334200.3.2.1 (o 2),P334200.4.4.0 (o 3),P334201.7.2.0 (o 6),P334202.2.2.0 (o 1),P334202.4.4.0 (o 3),P334203.2.2.0 (o 1),P334203.3.2.1 (o 2),P334203.4.4.0 (o 3),P334204.2.2.0 (o 1),P334204.4.4.0 (o 3),P334205.2.2.0 (o 1),P334205.3.2.1 (o 2),P334205.4.4.0 (o 3),P334208.2.2.0 (o 1),P334208.3.2.1 (o 2),P334208.4.4.0 (o 3),P334212.2.2.0 (o 1),P334257.2.2.0 (o 1),P334263.2.2.0 (o 1),P334263.3.2.1 (o 2),P334263.4.4.0 (o 3),P334264.2.2.0 (o 1),P334264.4.4.0 (o 3),P334271.2.2.0 (o 1),P334271.4.4.0 (o 3),P334271.5.4.0 (o 4),P334272.2.2.0 (o 1),P334272.8.4.0 (o 7),P334272.9.4.0 (o 8),P334273.2.2.0 (o 1),P334273.4.4.0 (o 3),P334273.5.4.0 (o 4),P334279.2.2.0 (o 1),P334279.4.4.0 (o 3),P334288.2.2.0 (o 1),P334288.4.4.0 (o 3),P334291.2.2.0 (o 1),P334291.3.4.0 (o 2),P334291.4.5.0 (o 3),P334291.6.3.0 (o 5),P334298.2.2.0 (o 1),P334298.4.4.0 (o 3),P334328.2.2.0 (o 1),P334328.4.4.0 (o 3),P334328.5.4.0 (o 4),P334329.2.2.0 (o 1),P334329.4.4.0 (o 3),P334329.5.4.0 (o 4),P334330.2.2.0 (o 1),P334330.4.4.0 (o 3),P334330.5.4.0 (o 4),P334331.2.2.0 (o 1),P334331.4.4.0 (o 3),P334331.5.4.0 (o 4),P334332.2.2.0 (o 1),P334332.5.4.0 (o 4),P334333.2.2.0 (o 1),P334333.4.4.0 (o 3),P334335.2.2.0 (o 1),P334335.4.4.0 (o 3),P334336.2.2.0 (o 1),P334336.4.4.0 (o 3),P334339.2.2.0 (o 1),P334339.4.4.0 (o 3),P334343.2.2.0 (o 1),P334343.4.4.0 (o 3),P334343.6.3.0 (o 5),P334344.2.2.0 (o 1),P334344.4.4.0 (o 3),P334344.6.2.0 (o 5),P334344.7.2.0 (o 6),P334345.2.2.0 (o 1),P334345.4.4.0 (o 3),P334345.6.3.0 (o 5),P334345.7.3.0 (o 6),P334347.2.2.0 (o 1),P334347.4.4.0 (o 3),P334347.7.4.0 (o 6),P334348.2.2.0 (o 1),P334348.4.4.0 (o 3),P334348.7.4.0 (o 6),P334349.4.4.0 (o 3),P334349.7.4.0 (o 6),P334350.2.2.0 (o 1),P334350.4.4.0 (o 3),P334350.7.4.0 (o 6),P334351.2.2.0 (o 1),P334351.4.4.0 (o 3),P334351.7.4.0 (o 6),P334367.2.2.0 (o 1),P334367.4.4.0 (o 3),P334496.2.2.0 (o 1),P334496.4.4.0 (o 3),P334496.6.2.0 (o 5),P334498.2.2.0 (o 1),P334498.6.4.0 (o 5),P334500.2.2.0 (o 1),P334500.4.4.0 (o 3),P334501.2.2.0 (o 1),P334501.4.4.0 (o 3),P334502.2.2.0 (o 1),P334502.3.4.0 (o 2),P334504.2.2.0 (o 1),P334504.4.4.0 (o 3),P334505.2.2.0 (o 1),P334505.4.4.0 (o 3),P334505.5.5.0 (o 4),P334518.2.2.0 (o 1),P334518.4.4.0 (o 3),P334521.2.2.0 (o 1),P334521.5.5.0 (o 4),P334521.6.5.0 (o 5),P334528.4.4.0 (o 3),P334529.2.2.0 (o 1),P334529.4.4.0 (o 3),P334534.2.2.0 (o 1),P334534.3.2.1 (o 2),P334534.4.4.0 (o 3),P334534.6.2.0 (o 5),P334534.8.2.0 (o 7),P334538.2.2.0 (o 1),P334538.3.2.1 (o 2),P334538.4.4.0 (o 3),P334539.2.2.0 (o 1),P334539.4.4.0 (o 3),P334540.2.2.0 (o 1),P334540.3.2.1 (o 2),P334540.4.4.0 (o 3),P334554.2.2.0 (o 1),P334554.4.4.0 (o 3),P334555.2.2.0 (o 1),P334555.4.4.0 (o 3),P334558.2.2.0 (o 1),P334558.4.4.0 (o 3),P334559.2.2.0 (o 1),P334559.4.4.0 (o 3),P334561.2.2.0 (o 1),P334561.4.4.0 (o 3),P334562.2.2.0 (o 1),P334562.4.4.0 (o 3),P334563.2.2.0 (o 1),P334564.2.2.0 (o 1),P334564.4.4.0 (o 3),P334565.2.2.0 (o 1),P334565.4.4.0 (o 3),P334587.2.2.0 (o 1),P334587.5.6.0 (o 3),P334587.7.4.0 (o 5),P334665.2.2.0 (o 1),P334665.5.2.0 (o 4),P334665.7.2.0 (o 6),P334918.2.2.0 (o 1),P334918.4.4.0 (o 3),P336167.2.2.0 (o 1),P336167.4.4.0 (o 3),P336167.5.4.0 (o 4),P336168.2.2.0 (o 1),P336168.4.4.0 (o 3),P336169.4.4.0 (o 3),P336178.2.2.0 (o 1),P336178.5.2.0 (o 4),P336597.2.2.0 (o 1),P336597.4.4.0 (o 3),P337150.2.2.0 (o 1),P337150.4.4.0 (o 3),X900015.2.2.0 (o 1),X900015.4.4.0 (o 3)",341,True
61,LUGAL,LUGAL:.d.,"P313515.4.4.0 (o 3),P334071.2.2.0 (o 1),P334076.2.2.0 (o 1),P334103.2.2.0 (o 1),P334103.4.4.0 (o 3),P334104.2.2.0 (o 1),P334104.4.4.0 (o 3),P334106.2.2.0 (o 1),P334201.2.2.0 (nolabel),P334201.3.2.1 (o 2),P334201.4.4.0 (o 3),P334296.7.4.0 (o 6),P334536.2.2.0 (o 1),P334536.4.4.0 (o 3),P336169.2.2.0 (o 1)",15,True
62,LUGAL,LUGAL:.m.,"P334256.4.4.0 (o 3),P334338.2.2.0 (o 1),P334338.4.4.0 (o 3),P334498.4.4.0 (o 3)",4,True
63,LUGAL,LUGAL:.p.,"P313448.2.2.0 (o 1),P313448.4.4.0 (o 3),P334090.3.4.0 (o 2),P334145.2.2.0 (o 1),P334145.7.3.0 (o 6),P334186.2.2.0 (o 1),P334187.2.2.0 (o 1),P334187.4.4.0 (o 3),P334256.2.2.0 (o 1),P334521.4.4.0 (o 3),P334521.7.3.0 (o 6),P334528.2.2.0 (o 1)",12,True
64,LUGAL,LUGAL:.t.,"P313420.2.2.0 (o 1),P313420.7.2.0 (o 6),P313420.8.2.0 (o 7),P313472.2.2.0 (o 1),P313504.2.2.0 (o 1),P313504.4.4.0 (o 3),P334296.2.2.0 (o 1),P334296.4.4.0 (o 3),P334343.7.3.0 (o 6),P334349.2.2.0 (o 1),P334563.4.4.0 (o 3)",11,True
65,LUGAL,LUGAL:.tm.,P334257.4.4.0 (o 3),1,True
66,LUGAL,LUGAL:.y.,"P334084.2.2.0 (o 1),P334084.4.4.0 (o 3),P334125.2.2.0 (o 1)",3,True
67,LUH,LUH:..,"P334080.2.2.1 (o 1),P334080.6.2.1 (o 5),P334174.2.2.1 (o 1),P334174.4.4.1 (o 3),P334346.2.2.1 (o 1),P334346.4.4.1 (o 3)",6,True
68,LUH,LUH:.p.,P334080.4.4.1 (o 3),1,True
69,LU₂,LU₂:..,"P313874.4.4.0 (o 3),P334259.2.2.0 (o 1)",2,True
70,LU₂,LU₂:v..,"P334076.6.1.0 (o 5),P334080.6.2.0 (o 5),P334091.2.2.0 (o 1),P334171.8.3.0 (o 7),P334172.8.3.0 (o 7),P334174.2.2.0 (o 1),P334174.4.4.0 (o 3),P334346.2.2.0 (o 1),P334346.4.4.0 (o 3),P334505.6.1.0 (o 5)",10,True
71,LU₂,LU₂:v.y.,"P334080.2.2.0 (o 1),P334080.4.4.0 (o 3),P334534.7.3.0 (o 6)",3,True
76,MU,MU:..,"P237089.4.2.1 (o 3),P313419.4.2.1 (o 3),P313419.5.1.1 (o 4),P313420.4.2.1 (o 3),P313420.5.1.1 (o 4),P313421.4.2.1 (o 3),P313434.4.2.1 (o 3),P313435.4.2.1 (o 3),P313437.4.2.1 (o 3),P313447.4.2.1 (o 3),P313448.4.2.1 (o 3),P313472.4.2.1 (o 3),P313472.5.1.1 (o 4),P313504.4.2.1 (o 3),P313504.5.1.1 (o 4),P313504.6.1.1 (o 5),P313510.4.2.1 (o 3),P313510.5.1.1 (o 4),P313515.4.2.1 (o 3),P313540.4.2.1 (o 3),P313640.4.2.1 (o 3),P313750.4.2.1 (o 3),P313750.5.1.1 (o 4),P313750.6.1.1 (o 5),P313874.4.2.1 (o 3),P314044.4.2.1 (o 3),P334036.4.2.1 (o 3),P334037.4.2.1 (o 3),P334038.4.2.1 (o 3),P334039.4.2.1 (o 3),P334040.4.2.1 (o 3),P334041.4.1.1 (o 3),P334041.5.1.1 (o 4),P334041.6.1.1 (o 5),P334041.7.1.1 (o 6),P334041.8.2.1 (o 7),P334042.4.2.1 (o 3),P334043.4.2.1 (o 3),P334044.4.2.1 (o 3),P334045.4.2.1 (o 3),P334046.4.2.1 (o 3),P334047.4.2.1 (o 3),P334048.3.1.1 (o 2),P334048.3.4.1 (o 2),P334048.4.1.1 (o 3),P334048.4.4.1 (o 3),P334048.5.2.1 (o 4),P334049.4.2.1 (o 3),P334050.4.2.1 (o 3),P334051.4.2.1 (o 3),P334053.4.2.1 (o 3),P334054.4.2.1 (o 3),P334055.4.2.1 (o 3),P334074.4.2.1 (o 3),P334074.5.1.1 (o 4),P334075.4.2.1 (o 3),P334076.4.2.1 (o 3),P334076.5.1.1 (o 4),P334077.3.2.1 (o 2),P334077.3.6.1 (o 2),P334078.4.2.1 (o 3),P334078.7.1.1 (o 6),P334079.4.2.1 (o 3),P334081.4.2.1 (o 3),P334083.4.2.1 (o 3),P334084.6.1.1 (o 5),P334092.5.2.1 (o 4),P334094.3.2.1 (o 2),P334103.4.2.1 (o 3),P334104.4.2.1 (o 3),P334105.4.2.1 (o 3),P334106.4.2.1 (o 3),P334108.4.2.1 (o 3),P334109.4.2.1 (o 3),P334113.4.2.1 (o 3),P334114.4.2.1 (o 3),P334115.4.2.1 (o 3),P334116.4.2.1 (o 3),P334117.4.2.1 (o 3),P334118.4.2.1 (o 3),P334124.4.2.1 (o 3),P334125.4.2.1 (o 3),P334136.4.2.1 (o 3),P334137.4.2.1 (o 3),P334138.4.2.1 (o 3),P334139.4.2.1 (o 3),P334140.4.2.1 (o 3),P334145.4.2.1 (o 3),P334145.5.1.1 (o 4),P334145.6.1.1 (o 5),P334158.3.3.1 (o 2),P334170.4.2.1 (o 3),P334171.4.2.1 (o 3),P334171.5.1.1 (o 4),P334171.6.1.1 (o 5),P334171.7.1.1 (o 6),P334171.8.1.1 (o 7),P334172.4.2.1 (o 3),P334172.5.1.1 (o 4),P334172.6.1.1 (o 5),P334172.7.1.1 (o 6),P334172.8.1.1 (o 7),P334174.4.2.1 (o 3),P334175.4.2.1 (o 3),P334176.4.2.1 (o 3),P334186.4.2.1 (o 3),P334187.4.2.1 (o 3),P334198.4.2.1 (o 3),P334201.4.2.1 (o 3),P334201.5.2.1 (o 4),P334202.4.2.1 (o 3),P334202.5.1.1 (o 4),P334203.4.2.1 (o 3),P334203.5.1.1 (o 4),P334204.4.2.1 (o 3),P334205.4.2.1 (o 3),P334208.4.2.1 (o 3),P334257.4.2.1 (o 3),P334263.4.2.1 (o 3),P334264.4.2.1 (o 3),P334264.5.1.1 (o 4),P334271.4.2.1 (o 3),P334272.4.1.1 (o 3),P334272.5.1.1 (o 4),P334272.6.1.1 (o 5),P334272.7.1.1 (o 6),P334272.8.2.1 (o 7),P334273.4.2.1 (o 3),P334279.4.2.1 (o 3),P334288.4.2.1 (o 3),P334291.3.2.1 (o 2),P334291.4.1.1 (o 3),P334291.5.1.1 (o 4),P334296.4.2.1 (o 3),P334296.6.1.1 (o 5),P334298.4.2.1 (o 3),P334328.4.2.1 (o 3),P334329.4.2.1 (o 3),P334330.4.2.1 (o 3),P334331.4.2.1 (o 3),P334332.5.2.1 (o 4),P334333.4.2.1 (o 3),P334335.4.2.1 (o 3),P334336.4.2.1 (o 3),P334343.4.2.1 (o 3),P334343.5.1.1 (o 4),P334344.4.2.1 (o 3),P334344.5.1.1 (o 4),P334345.4.2.1 (o 3),P334345.5.1.1 (o 4),P334346.4.2.1 (o 3),P334347.4.2.1 (o 3),P334347.6.1.1 (o 5),P334348.4.2.1 (o 3),P334348.6.1.1 (o 5),P334349.4.2.1 (o 3),P334349.6.1.1 (o 5),P334350.4.2.1 (o 3),P334350.6.1.1 (o 5),P334351.4.2.1 (o 3),P334351.6.1.1 (o 5),P334367.4.2.1 (o 3),P334496.4.2.1 (o 3),P334498.4.2.1 (o 3),P334498.5.1.1 (o 4),P334500.4.2.1 (o 3),P334501.4.2.1 (o 3),P334502.3.2.1 (o 2),P334504.4.2.1 (o 3),P334505.4.2.1 (o 3),P334505.5.1.1 (o 4),P334521.4.2.1 (o 3),P334521.5.1.1 (o 4),P334521.6.1.1 (o 5),P334528.4.2.1 (o 3),P334529.4.2.1 (o 3),P334534.4.2.1 (o 3),P334534.9.1.1 (o 8),P334536.4.2.1 (o 3),P334538.4.2.1 (o 3),P334539.4.2.1 (o 3),P334540.4.2.1 (o 3),P334540.5.1.1 (o 4),P334554.4.2.1 (o 3),P334555.4.2.1 (o 3),P334558.4.2.1 (o 3),P334561.4.2.1 (o 3),P334562.4.2.1 (o 3),P334562.5.1.1 (o 4),P334562.6.1.1 (o 5),P334563.4.2.1 (o 3),P334564.4.2.1 (o 3),P334565.4.2.1 (o 3),P334587.6.1.1 (o 4),P334665.4.2.1 (o 3),P334918.4.2.1 (o 3),P336167.4.2.1 (o 3),P336168.4.2.1 (o 3),P336169.4.2.1 (o 3),P336178.4.2.1 (o 3),P336597.4.2.1 (o 3),P337150.4.2.1 (o 3),X900015.4.2.1 (o 3)",203,True
77,MU,MU:.d.,P334084.4.2.1 (o 3),1,True
78,MU,MU:.p.,"P334080.4.2.1 (o 3),P334090.3.2.1 (o 2),P334091.4.2.1 (o 3),P334092.3.2.1 (o 2),P334092.3.6.1 (o 2),P334092.4.5.1 (o 3),P334135.4.2.1 (o 3),P334199.4.2.1 (o 3),P334200.4.2.1 (o 3),P334256.4.2.1 (o 3),P334338.4.2.1 (o 3),P334339.4.2.1 (o 3),P334534.7.1.1 (o 6),P334559.4.2.1 (o 3)",14,True
79,MU,MU:.pp.,P334534.5.1.1 (o 4),1,True
80,MU,MU:.t.,P334518.4.2.1 (o 3),1,True
