senderloc,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
Allabria,0.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,7.0,0.0,0.0,1.0,0.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,9.0,0.0,4.0,6.0,2.0,5.0,1.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
Amidi,3.0,1.0,14.0,6.0,3.0,5.0,34.0,0.0,12.0,5.0,11.0,32.0,23.0,33.0,73.0,2.0,2.0,0.0,2.0,4.0,25.0,4.0,26.0,15.0,20.0,2.0,33.0,14.0,17.0,12.0,48.0,17.0,7.0,29.0,7.0,8.0,37.0,35.0,12.0,0.0,27.0,0.0,7.0,9.0,9.0,2.0,14.0,7.0,1.0,32.0,13.0,1.0,3.0,0.0,30.0,0.0
Appina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Arbela,0.0,1.0,7.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,1.0,3.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,5.0,1.0,8.0,2.0,8.0,0.0,6.0,2.0,17.0,1.0,2.0,3.0,1.0,1.0,6.0,10.0,0.0,4.0,6.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,7.0,5.0,0.0,0.0,1.0,2.0,0.0
Arrapha,7.0,3.0,21.0,3.0,3.0,0.0,27.0,0.0,12.0,0.0,30.0,1.0,66.0,10.0,133.0,1.0,9.0,4.0,4.0,10.0,25.0,5.0,22.0,11.0,27.0,6.0,30.0,30.0,9.0,53.0,70.0,6.0,9.0,55.0,7.0,15.0,58.0,34.0,22.0,0.0,6.0,15.0,7.0,8.0,15.0,1.0,10.0,13.0,2.0,29.0,9.0,1.0,1.0,8.0,16.0,0.0
Arzuhina,4.0,3.0,9.0,6.0,4.0,2.0,13.0,2.0,12.0,3.0,8.0,14.0,30.0,1.0,64.0,1.0,1.0,6.0,2.0,10.0,31.0,7.0,17.0,1.0,18.0,1.0,16.0,6.0,21.0,16.0,45.0,7.0,5.0,18.0,6.0,11.0,28.0,43.0,14.0,1.0,10.0,0.0,4.0,5.0,9.0,0.0,6.0,2.0,3.0,15.0,11.0,0.0,7.0,0.0,3.0,0.0
Ashur,19.0,0.0,61.0,0.0,8.0,9.0,56.0,1.0,26.0,7.0,72.0,0.0,93.0,93.0,142.0,4.0,18.0,1.0,7.0,20.0,44.0,10.0,73.0,25.0,97.0,0.0,86.0,33.0,42.0,10.0,118.0,25.0,21.0,68.0,7.0,41.0,56.0,56.0,9.0,26.0,70.0,1.0,3.0,14.0,11.0,16.0,32.0,7.0,0.0,64.0,28.0,0.0,3.0,9.0,41.0,0.0
Assyria,12.0,4.0,48.0,0.0,22.0,7.0,34.0,11.0,29.0,10.0,30.0,17.0,104.0,3.0,187.0,8.0,5.0,7.0,15.0,18.0,54.0,9.0,60.0,19.0,49.0,13.0,45.0,16.0,38.0,37.0,129.0,15.0,14.0,40.0,7.0,5.0,64.0,56.0,21.0,14.0,25.0,4.0,6.0,3.0,33.0,3.0,16.0,9.0,1.0,35.0,21.0,0.0,11.0,5.0,13.0,1.0
Babylon,10.0,2.0,32.0,0.0,13.0,3.0,30.0,1.0,13.0,2.0,45.0,7.0,64.0,6.0,129.0,9.0,6.0,1.0,3.0,7.0,28.0,7.0,24.0,9.0,20.0,3.0,43.0,13.0,18.0,42.0,53.0,7.0,19.0,44.0,8.0,8.0,34.0,40.0,15.0,4.0,9.0,18.0,1.0,5.0,18.0,1.0,13.0,9.0,0.0,38.0,15.0,1.0,4.0,2.0,22.0,1.0
Bit-Sangibuti,6.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,13.0,0.0,19.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,5.0,0.0,2.0,1.0,3.0,8.0,14.0,3.0,2.0,7.0,4.0,2.0,8.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,10.0,3.0,0.0,1.0,1.0,4.0,1.0
Bit-Zamani,0.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,3.0,0.0,7.0,1.0,13.0,4.0,5.0,3.0,1.0,0.0,5.0,0.0,3.0,0.0,5.0,1.0,0.0,3.0,11.0,6.0,3.0,0.0,10.0,1.0,0.0,2.0,0.0,5.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0
Calah,16.0,0.0,15.0,2.0,3.0,1.0,21.0,4.0,4.0,2.0,9.0,0.0,50.0,0.0,62.0,1.0,2.0,0.0,3.0,5.0,14.0,0.0,18.0,0.0,14.0,0.0,31.0,0.0,7.0,11.0,18.0,7.0,4.0,9.0,12.0,3.0,11.0,16.0,7.0,0.0,26.0,2.0,1.0,2.0,3.0,0.0,12.0,0.0,0.0,13.0,6.0,0.0,3.0,0.0,24.0,0.0
Carchemish,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,12.0,0.0,19.0,0.0,1.0,0.0,1.0,6.0,6.0,0.0,11.0,0.0,2.0,3.0,5.0,0.0,4.0,7.0,16.0,2.0,5.0,10.0,0.0,4.0,5.0,8.0,6.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0
Central or Southern Babylonia,6.0,3.0,14.0,1.0,7.0,2.0,20.0,3.0,4.0,1.0,33.0,0.0,45.0,1.0,97.0,13.0,6.0,2.0,5.0,12.0,24.0,6.0,21.0,27.0,15.0,11.0,28.0,3.0,1.0,27.0,43.0,9.0,11.0,48.0,10.0,10.0,36.0,34.0,17.0,4.0,10.0,7.0,8.0,4.0,17.0,0.0,7.0,5.0,2.0,25.0,15.0,1.0,3.0,1.0,6.0,0.0
Damascus,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,5.0,5.0,3.0,18.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,5.0,1.0,1.0,11.0,3.0,2.0,3.0,8.0,12.0,2.0,4.0,14.0,2.0,9.0,2.0,14.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
Der,14.0,1.0,47.0,0.0,17.0,1.0,79.0,2.0,14.0,5.0,70.0,3.0,140.0,0.0,262.0,6.0,14.0,6.0,6.0,28.0,32.0,51.0,40.0,22.0,63.0,5.0,62.0,28.0,21.0,96.0,100.0,11.0,56.0,45.0,17.0,10.0,55.0,103.0,49.0,0.0,4.0,27.0,6.0,19.0,28.0,0.0,14.0,10.0,3.0,104.0,22.0,2.0,7.0,10.0,44.0,0.0
Der region,6.0,0.0,9.0,0.0,2.0,4.0,6.0,1.0,2.0,0.0,20.0,0.0,12.0,4.0,18.0,9.0,1.0,2.0,2.0,4.0,6.0,5.0,14.0,5.0,4.0,4.0,11.0,4.0,3.0,9.0,14.0,6.0,5.0,10.0,3.0,1.0,7.0,13.0,6.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,3.0,0.0,1.0,8.0,7.0,0.0,1.0,1.0,1.0,0.0
Diyala region,16.0,1.0,20.0,0.0,22.0,8.0,26.0,2.0,19.0,4.0,34.0,4.0,67.0,21.0,149.0,9.0,9.0,3.0,8.0,19.0,26.0,13.0,36.0,21.0,24.0,5.0,35.0,21.0,28.0,39.0,72.0,23.0,26.0,62.0,13.0,12.0,59.0,41.0,25.0,5.0,12.0,4.0,4.0,9.0,29.0,0.0,9.0,10.0,4.0,59.0,16.0,1.0,5.0,2.0,14.0,0.0
Dur-Kurigalzu,4.0,5.0,29.0,0.0,11.0,9.0,32.0,0.0,9.0,2.0,50.0,2.0,78.0,0.0,163.0,1.0,7.0,11.0,6.0,25.0,24.0,21.0,30.0,23.0,32.0,15.0,67.0,38.0,13.0,82.0,107.0,2.0,16.0,83.0,16.0,6.0,40.0,53.0,19.0,0.0,4.0,28.0,3.0,20.0,9.0,0.0,10.0,8.0,1.0,35.0,12.0,3.0,2.0,7.0,21.0,0.0
Dur-Kurigalzu or Babylon,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
Dur-Sharruken,4.0,1.0,13.0,0.0,11.0,4.0,9.0,9.0,7.0,2.0,27.0,1.0,59.0,18.0,79.0,3.0,4.0,1.0,9.0,5.0,20.0,8.0,40.0,7.0,20.0,9.0,31.0,21.0,10.0,26.0,49.0,9.0,4.0,27.0,8.0,5.0,28.0,27.0,15.0,3.0,17.0,8.0,2.0,1.0,12.0,1.0,7.0,2.0,0.0,19.0,3.0,0.0,2.0,4.0,3.0,4.0
Eastern Kurdistan,14.0,4.0,35.0,5.0,9.0,11.0,32.0,1.0,10.0,6.0,22.0,28.0,88.0,20.0,181.0,13.0,9.0,3.0,0.0,9.0,44.0,3.0,43.0,22.0,32.0,12.0,80.0,5.0,21.0,42.0,94.0,22.0,38.0,54.0,5.0,23.0,56.0,60.0,35.0,5.0,52.0,4.0,7.0,6.0,17.0,4.0,23.0,9.0,2.0,45.0,37.0,1.0,3.0,7.0,18.0,9.0
Guzana,0.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,5.0,10.0,19.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,5.0,0.0,7.0,0.0,8.0,0.0,2.0,0.0,21.0,0.0,9.0,0.0,0.0,2.0,0.0,17.0,0.0,8.0,5.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,1.0,0.0
Habruri,0.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,2.0,4.0,2.0,8.0,0.0,0.0,3.0,8.0,0.0,1.0,3.0,0.0,1.0,6.0,4.0,3.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Halzi-atbar,1.0,2.0,4.0,3.0,2.0,4.0,6.0,0.0,2.0,1.0,2.0,10.0,9.0,3.0,13.0,0.0,0.0,1.0,1.0,3.0,7.0,8.0,7.0,4.0,4.0,1.0,10.0,3.0,4.0,1.0,19.0,0.0,5.0,11.0,0.0,2.0,5.0,15.0,0.0,0.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0
Hamath,2.0,1.0,7.0,0.0,1.0,0.0,14.0,1.0,2.0,0.0,2.0,5.0,8.0,11.0,23.0,0.0,0.0,1.0,2.0,5.0,9.0,0.0,3.0,7.0,1.0,7.0,15.0,0.0,4.0,4.0,16.0,3.0,2.0,4.0,3.0,4.0,7.0,10.0,4.0,0.0,11.0,0.0,0.0,1.0,3.0,5.0,5.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,10.0,0.0
Harran,7.0,1.0,33.0,1.0,9.0,1.0,14.0,13.0,10.0,1.0,1.0,9.0,67.0,1.0,55.0,3.0,5.0,0.0,5.0,4.0,47.0,3.0,26.0,0.0,27.0,1.0,39.0,5.0,11.0,7.0,45.0,8.0,5.0,35.0,8.0,5.0,27.0,26.0,4.0,12.0,35.0,0.0,5.0,4.0,10.0,1.0,11.0,3.0,0.0,15.0,10.0,3.0,2.0,1.0,14.0,0.0
Hindanu,3.0,0.0,1.0,0.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,33.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,11.0,3.0,0.0,17.0,9.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,4.0
Kar-Sharrukin,27.0,3.0,45.0,0.0,27.0,9.0,34.0,6.0,18.0,1.0,43.0,8.0,95.0,5.0,248.0,9.0,13.0,1.0,13.0,15.0,60.0,2.0,61.0,21.0,59.0,2.0,40.0,14.0,28.0,42.0,149.0,10.0,27.0,100.0,19.0,20.0,65.0,73.0,20.0,16.0,9.0,4.0,5.0,4.0,27.0,4.0,14.0,4.0,1.0,70.0,38.0,0.0,4.0,8.0,24.0,4.0
